综合练习题
（一）、单项或多项选择题（单项选择只有一个选项是正确的，多项选择不只有一个正确选项）

1、单选 搜索引擎营销中，营销是？
下列选项中，关键词不是精确匹配模式的是（）
选择一项或多项：
a. 关键词”英语培训"触发的搜索词”留学英语培训"
b. 关键词"网络营销”触发的搜索词为"网络营销"
c. 关键词”英语培训"触发的”商务英语培训"
d. 关键词”电子商务学习"触发的搜索词”电子商务学习费用"
正确答案是：关键词”英语培训"触发的”商务英语培训", 关键词”电子商务学习"触发的搜索词”电子商务学习费用", 关键词”英语培训"触发的搜索词”留学英语培训"

试题 1
网民通过搜索引擎搜索的词语叫做（）。
正确答案是：搜索词

试题 2
网盟广告的计费模式一般为（）。
正确答案是：cpc模式

试题 3
选关键词要从4个方面衡量（）、竞争程度、客户价值、经营价值。
正确答案是：搜索量

试题 4
目标客户可以分为教育型目标客户和（）目标客户。
正确答案是：转化型

试题 5
网页文本中出现其他页面的关键词的时候，要对这个关键词加上超链接到相关的页面。
选择一项：
对
错
正确答案是“对”。

试题 6
网盟账户的搭建流程可以分为三步，即创建推广计划、（）、创建创意。
正确答案是：创建推广组

试题 7
在设置网盟广告的推广组时，主要设置内容包括推广组名称、投放地域、附加信息、受众描述、媒体展示环境及展现类型、（）。
正确答案是：出价

试题 8
传统数据密集型行业积极探索和布局大数据应用的表现是（）。
选择一项或多项：
a. 提高分析挖掘能力
b. 自行开发数据产品
c. 实现科学决策与运营
d. 打通多源跨域数据
正确答案是：打通多源跨域数据, 提高分析挖掘能力, 实现科学决策与运营

试题 9
竞价广告创意在左侧推广位上的描述1和描述2会拼在一起后展示。
选择一项：
对
错
正确答案是“对”。

试题 10
线索通作为百度推广的创意组件是对于传统搜索推广样式的补充。
选择一项：
对
错
正确答案是“对”。

试题 1
网民的搜索过程包括彩蛋
选择一项：
a. 访问网站
b. 文字链
c. 搜索
d. 受众的搜索习惯
正确答案是：访问网站

试题 2
创意展现规则包括 彩蛋
选择一项：
a. IP排除
b. 出价
c. 精确
d. 轮替
正确答案是：轮替

试题 3
添加关键词必须在推广单元层级下才能加入关键词。
选择一项：
对
错
正确答案是“对”。

试题 4
为了提高广告推广效果，广告创意内容描述的夸张点也无所谓。
选择一项：
对
错
正确答案是“错”。

试题 5
下列选项中，关于广告创意写作技巧的说法，正确的是（）。
选择一项或多项：
a. 相关
b. 飘红
c. 详细具体
d. 通顺
正确答案是：相关, 通顺, 飘红

试题 6
网盟广告的收费公式为CPC收费金额等于（）。
正确答案是：点击价格×创意被点击次数

试题 7
网盟广告系统常见的优化工具有添加关键词、下线时间查询工具、历史查询工具、复制推广组工具、受众组合工具、网站选择、网盟123、百度（）。
正确答案是：DMP

试题 8
选关键词要从4个方面衡量搜索量、（）、客户价值、经营价值。
正确答案是：竞争程度

试题 9
域名中单词的区隔用下横线而不要用中划线。
选择一项：
对
错
正确答案是“错”。

试题 10
下列选项中，属于短语匹配模式的是（）。
选择一项或多项：
a. 关键词"英语培训"触发的搜索词为”考研英语培训"
b. 关键词"网络营销培训"触发的搜索词”培训营销"
c. 关键词”英语培训"触发的搜索词”留学英语培训"
d. 关键词"电商培训”触发的搜索词"淘宝电商培训”
正确答案是：关键词"英语培训"触发的搜索词为”考研英语培训", 关键词"电商培训”触发的搜索词"淘宝电商培训”, 关键词”英语培训"触发的搜索词”留学英语培训"

试题 1
选关键词要从4个方面衡量搜索量、竞争程度、（）、经营价值。
正确答案是：客户价值

试题 2
通常来说，一条创意中一般会添加5个通配符。
选择一项：
对
错
正确答案是“错”。

试题 3
SEM实际上是一个（）的过程。
正确答案是：管理

试题 4
文件名中包含的组合关键词时，中间用下划线隔开。
选择一项：
对
错
正确答案是“错”。

试题 5
在撰写网盟广创意时运用到撰写技巧主要有主题要明确、结构要合理、文字要（）、图片要符合主题、颜色要有对比。
正确答案是：精炼

试题 6
同等条件下，关键词竞争程度越小越好。
选择一项：
对
错
正确答案是“对”。

试题 7
百度网盟广告的创意主要有图片创意和（）。
正确答案是：文本创意

试题 8
经营价值包括品牌和（）。
正确答案是：销售

试题 9
百度网盟推广账户主要由账户、（）、推广组、创意等4个创意层级组成。
正确答案是：推广计划

试题 10
目前，只有搜狗搜索提供右侧的推广位置。
选择一项：
对
错
正确答案是“对”。

试题 1
品牌华表不同于一般的竞价推广，它是按周购买的，每周一至周三出价，周三显示竞价结果。
选择一项：
对
错
正确答案是“对”。

试题 2
下列选项中，关于否定关键词的说法正确的是（）。
选择一项或多项：
a. 提高预见性，及时补漏差缺
b. 增加否定关键词的数量
c. 学会合并同类项
d. 遵循"先短语否定后精确否定”原则
正确答案是：提高预见性，及时补漏差缺, 遵循"先短语否定后精确否定”原则, 学会合并同类项

试题 3
匹配方式包括彩蛋
选择一项：
a. 关键词
b. 推广
c. 短语匹配
d. 搜素词
正确答案是：短语匹配

试题 4
推广时段的影响因素有彩蛋
选择一项：
a. 受众的搜索习惯
b. 市场地域限制
c. 推广时段
d. 访问网站
正确答案是：受众的搜索习惯

试题 5
（）是推广计划的子集，可以设置投放地域、投放网站、目标受众人群投放，它能够实现网盟推广所有定向投放功能。
正确答案是：推广组

试题 6
否定匹配可以分为 彩蛋
选择一项：
a. 广泛匹配
b. 短语匹配
c. 关键词
d. 否定匹配
正确答案是：否定匹配

试题 7
网盟推广的创意展现形式丰富多样，主要有固定、（）、悬浮三种展现方式。
正确答案是：贴片

试题 8
下列选项中，哪些属于百度线索通中常见组件（）。
选择一项或多项：
a. 自定义表单组件
b. 电话组件
c. 网页回呼组件
d. 咨询组件
正确答案是：电话组件, 网页回呼组件, 咨询组件, 自定义表单组件

试题 9
在撰写创意时，可以将该推广单元内最长的关键词带入，以确保展现出的创意顺利飘红
选择一项：
对
错
正确答案是“对”。

试题 10
百度网盟推广主要有5种定向投放方式，分别为地域定向、（）、到访定向、关键词定向、网站定向。
正确答案是：兴趣定向

试题 1
口碑评价是为了加强企业对百度推广的信任度，提高广告点击量而推出的口碑创意展现样式。
选择一项：
对
错
正确答案是“对”。

试题 2
下列选项中，属于常见的选择否定关键词的方法的是（）。
选择一项或多项：
a. 百度统计
b. 百度关键词工具
c. 搜索词报告
d. 关键词匹配模式
正确答案是：搜索词报告, 百度关键词工具, 百度统计

试题 3
下列选项中，关于通配符使用注意事项的说法正确的是（）。
选择一项或多项：
a. 使用通配符不会影响创意字符长度计算
b. 将最长的关键词带入试读
c. 每条创意中一般不超过5条创意
d. 请确保替换了"默认关键词”后，创意语句通顺
正确答案是：请确保替换了"默认关键词”后，创意语句通顺, 将最长的关键词带入试读, 使用通配符不会影响创意字符长度计算

试题 4
关键词可以人工筛选，也可以工具筛选。
选择一项：
对
错
正确答案是“对”。

试题 5
目前，除了（）在结果页提供8个右侧推广链接外，百度和360搜索都取消了右侧的推广链接。 

正确答案是：搜狗搜索

试题 6
在设置显示URL时，一定要保证显示URL和访问的URL一致。
选择一项：
对
错
正确答案是“错”。

试题 7
所有关键字都将默认使用（）。
正确答案是：广泛匹配

试题 8
飘红是指当广告创意中包含和网民搜索词一致或语义相近时，创意中相关关键词就会变成红色字体。
选择一项：
对
错
正确答案是“对”。

试题 9
（）指的是搜索结果首页左侧无底色的推广位置。
正确答案是：左侧推广位

试题 10
精细化投放包括什么功能 彩蛋
选择一项：
a. 市场地域限制
b. 每日消费限额
c. 预算有限
d. 公司运营
正确答案是：每日消费限额

试题 1
目前，百度网盟系统将联盟网站划分为25个一级行业和115个二级行业，企业可以据此按照（）投放广告。
正确答案是：网站行业类型

试题 2
下列选项中，属于百度推广特殊创意展现形式的有（）。
选择一项或多项：
a. 商业阿拉丁
b. 网站头像
c. 品牌华表
d. 口碑评价
正确答案是：商业阿拉丁, 品牌华表, 网站头像, 口碑评价

试题 3
（）是当买家搜索了与你关键词相关、或者意思相近的词，你就有获得展现的机会。
正确答案是：广泛匹配则

试题 4
短语匹配是介于精确匹配和广泛匹配之间较为折中的匹配方式。
选择一项：
对
错
正确答案是“对”。

试题 5
下列选项中，属于关键词选择策略内容的是（）。
选择一项或多项：
a. 筛选关键词
b. 拓展关键词
c. 关键词分组
d. 寻找核心关键词
正确答案是：寻找核心关键词, 拓展关键词, 筛选关键词, 关键词分组

试题 6
网盟推广的优化主要包括展现量优化、点击率优化和（）三方面。
正确答案是：转化率优化

试题 7
广告创意的访问URL就是创意中显示的URL。
选择一项：
对
错
正确答案是“错”。

试题 8
搜索词包含关键词的匹配方式叫做彩蛋
选择一项：
a. 短语匹配
b. 广泛匹配
c. 否定匹配
d. 精确匹配
正确答案是：短语匹配

试题 9
（）关键词,当且仅当网民的搜索词中完全包含否定关键词时，推广结果将不会展现。
正确答案是：短语否定

试题 10
目标关键词和长尾关键词都是关键词。
选择一项：
对
错
正确答案是“对”。

试题 1
在显示URL后面添加引导性后缀可以体现出较高的页面相关度
选择一项：
对
错
正确答案是“对”。

试题 2
文件名中包含的组合关键词时，中间用横线隔开。
选择一项：
对
错
正确答案是“对”。

试题 3
同等条件下，关键词搜索量越大越好。
选择一项：
对
错
正确答案是“对”。

试题 4
关键词与搜索词语义相近的匹配方式叫做 彩蛋
选择一项：
a. 精确匹配
b. 否定匹配
c. 广泛匹配
d. 短语匹配
正确答案是：广泛匹配

试题 5
SEM实际上是一个（）的过程
选择一项：
a. 销售
b. 计划
c. 执行
d. 管理
正确答案是：管理

试题 6
搜索词包含关键词的匹配方式叫做（）。
正确答案是：短语匹配

试题 7
企业开展竞价推广的营销思维可以分为三个阶段，即吸引关注、获取咨询和（）。

正确答案是：形成转化

试题 8
在创意中添加的通配符会影响创意字符计算长度。
选择一项：
对
错
正确答案是“错”。

试题 9
使用广泛匹配模式，可以提高广告的曝光量。
选择一项：
对
错
正确答案是“对”。

试题 10
选择服务器托管公司时，主要考虑一下运营稳定性、服务器速度和公司的知名度及价格。
选择一项：
对
错
正确答案是“对”。

试题 1
选关键词要从4个方面衡量搜索量、竞争程度、客户价值、（）。
正确答案是：经营价值

试题 2
关键词与搜索词完全一致的匹配方式叫做 彩蛋
选择一项：
a. 否定匹配
b. 广泛匹配
c. 精确匹配
d. 短语匹配
正确答案是：精确匹配

试题 3
否定关键词只能在推广单元里添加。
选择一项：
对
错
正确答案是“错”。

试题 4
根据网盟平台的性质和广告形式，可以将中国网盟分为三类，即（）、电子商务网络广告联盟、综合网络广告联盟。
正确答案是：搜索竞价联盟

试题 5
同等条件下，关键词竞争程度越大越好。
选择一项：
对
错
正确答案是“错”。

试题 6
竞价广告推广结果的展现位置主要有左侧推广位、（）、右侧推广链接三种形式。
正确答案是：左侧推广链接

试题 7
目标客户可以分为（）目标客户和转化型目标客户。
正确答案是：教育型

试题 8
目前，网盟系统的关键词定向方式主要有（）、当前浏览 、历史浏览三种方式。
正确答案是：搜索

试题 9
网民通过搜索引擎搜索的词语叫做 彩蛋
选择一项：
a. 关键词
b. 短语
c. 搜索词
d. 词语
正确答案是：搜索词

试题 10
目前，国内的搜索引擎主要有（）、360搜索、搜狗、神马、中国搜索（中搜）、必应等。
正确答案是：百度

试题 1
（）指的是搜索结果首页左侧带有底色的推广链接位置。
正确答案是：左侧推广链接

试题 2
广告创意的相关性是指创意内容应当和网民搜索的内容高度相关。
选择一项：
对
错
正确答案是“对”。

试题 3
一般情况下，如果账户关键词的出价低于最低展现价格，关键词状态将显示为（）而无法获得展现机会。
正确答案是：搜索无效

试题 4
企业开展竞价推广服务，其广告排名位置主要由企业设置的广告（）和质量度决定。 

正确答案是：点击价格

试题 5
创意只能针对（）去撰写
选择一项：
a. 着陆页
b. 关键词
c. 单元
d. 短语
正确答案是：单元

试题 6
目前，国内的搜索引擎主要有（）、360搜索、搜狗、神马、中国搜索（中搜）、必应等。
正确答案是：百度

试题 7
网民的搜索过程包括彩蛋
选择一项：
a. 受众的搜索习惯
b. 搜索
c. 访问网站
d. 文字链
正确答案是：访问网站

试题 8
在设置显示URL时，一定要保证显示URL和访问的URL一致。
选择一项：
对
错
正确答案是“错”。

试题 9
下列选项中，哪些属于常见的拓展关键词的方法（）。
选择一项或多项：
a. 根据考核方法，筛选关键词
b. 根据营销目标和预算，筛选关键词
c. 根据搜索词报告筛选关键词
d. 利用关键词挖掘工具筛选
正确答案是：根据考核方法，筛选关键词, 根据营销目标和预算，筛选关键词

试题 10
关键词与搜索词完全一致的匹配方式叫做（）。
正确答案是：精确匹配



单元测验4

试题 1
策略展现屏蔽添加方法和手动添加方法并不相同。
选择一项：
对
错
正确答案是“错”。

试题 2
单元移动出价比例是指单元内（）和计算机端竞价价格之间的比例。

正确答案是：移动端竞价价格

试题 3
在百度推广账户中，创意和关键词之间是一对多的关系。
选择一项：
对
错
正确答案是“错”。

试题 4
在企业广告投放初期，应当尽量使用全部尺寸，这样可以覆盖更多的联盟广告位
选择一项：
对
错
正确答案是“对”。

试题 5
下列选项中，属于腾讯社交广告常用的账户辅助工具的是（）。
选择一项或多项：
a. 财务管理
b. 定向包管理
c. 权限管理
d. 广告诊断工具
正确答案是：权限管理, 财务管理

试题 6
在同样的设置条件下，优先以账户低层级的设置为准。
选择一项：
对
错
正确答案是“错”。

试题 7
百度DMP工具的主要功能是可以把企业分散的数据信息整合在一起，进行集中管理，并对人群画像进行分析，帮助企业主深入了解目标人群。
选择一项：
对
错
正确答案是“对”。

试题 8
网盟广告的点击价格就等于企业主为广告设定的出价。
选择一项：
对
错
正确答案是“错”。

试题 9
企业推广账户中每个关键词都会获得一个质量度得分，以五星::判断题::0分的形式呈现。
选择一项：
对
错
正确答案是“对”。

试题 10
下列选项中，属于腾讯社交广告展示平台的是（）。
选择一项或多项：
a. 微信
b. QQ浏览器
c. 腾讯网
d. QQ空间
正确答案是：QQ空间, 腾讯网, 微信, QQ浏览器

试题 1
推广人员通过搜索词报告得到的关键词价值较大，必须全部添加到推广单元内。
选择一项：
对
错
正确答案是“错”。

试题 2
下列选项中，属于常见的网盟推广数据监控方法的是（）。
选择一项或多项：
a. 51啦统计
b. 账户报告
c. CNZZ
d. 百度统计
正确答案是：账户报告, 百度统计

试题 3
在默认情况下，腾讯社交广告按CPM模式计费。
选择一项：
对
错
正确答案是“错”。

试题 4
凤巢报告的点击质量和网站统计点击量不同步可能是 (　)
选择一项：
a. URL错误
b. 出价
c. 出价太低
d. 创意
正确答案是：URL错误

试题 5
积分墙广告最大的特点是个性化投放，依托平台海量用户将广告展现给目标人群。
选择一项：
对
错
正确答案是“错”。

试题 6
下列选项中，属于目前腾讯社交广告支持的营销目标有（）。
选择一项或多项：
a. 微信品牌活动
b. 用户下载量
c. 电商推广页
d. 腾讯课堂
正确答案是：电商推广页, 微信品牌活动, 腾讯课堂

试题 7
通常来说，每个推广单元内的关键词数量应保持在50个以上
选择一项：
对
错
正确答案是“错”。

试题 8
CPE模式是以用户和企业之间的互动为计费方式。
选择一项：
对
错
正确答案是“对”。

试题 9
否定关键词是一种（）方式，当网民搜索的关键词完全包含企业设置的否定关键词时，企业的推广将不会展现。
正确答案是：短语否定

试题 10
企业开通腾讯社交广告的方式两种，一种是在官网通过QQ号申请开户，另一种是通过电话热线开通。
选择一项：
对
错
正确答案是“错”。

试题 1
SEO人员不但要懂网站结构、域名、服务器等网络技术，而且还要会撰写文章、整理图集。
选择一项：
对
错
正确答案是“对”。

试题 2
企业申请完账户后，百度推广平台还会对企业的营业执照、公司主体、从业资质、ICP备案等信息进行审核
选择一项：
对
错
正确答案是“对”。

试题 3
状态显示"搜索无效”意味着 (　)
选择一项：
a. 审核不通过
b. 价格太低
c. 没有这个词
d. 非法词语
正确答案是：价格太低

试题 4
在设置网盟广告的URL时，访问URL一定要设置为着陆页广告链接，而显示URL可以设置为网站首页链接。
选择一项：
对
错
正确答案是“对”。

试题 5
设置关键词出价的时候，可以按照由高到低逐步调整价格，进而了解该关键词的排名变化。
选择一项：
对
错
正确答案是“错”。

试题 6
积分墙广告经常使用的就是CPS计费模式。
选择一项：
对
错
正确答案是“错”。

试题 7
百度推广账户后台能够为用户提供十分详尽的数据报告，主要包括数据概览、数据实时看、纬度分析报告、（）、定制报告、其他报告。
正确答案是：效果报告

试题 8
凤巢报告的点击质量（）网站统计点击量
选择一项：
a. 小于
b. 等于
c. 大于
d. 大于等于
正确答案是：大于等于

试题 9
一般而言，网站着陆页统计代码放在（）
选择一项：
a. 底部
b. 左侧
c. 中部
d. 开头
正确答案是：底部

试题 10
搭建账户结构的重要作用之一就是便于推广人员变故设置不同的推广计划预算，更有侧重点开展竞价推广。
选择一项：
对
错
正确答案是“对”。

试题 1
和传统的大众广告相比，网盟广告按照CPC模式计费，只有广告被点击时才会计费，没有点击不计费。
选择一项：
对
错
正确答案是“对”。

试题 2
腾讯社交广告账户的每日预算不得少于100元。
选择一项：
对
错
正确答案是“错”。

试题 3
下列选项中，属于常见的网盟系统优化工具的是（）。
选择一项或多项：
a. 网站选择
b. 百度商桥
c. 关键词规划师
d. 受众组合工具
正确答案是：网站选择, 受众组合工具

试题 4
下列选项中，属于账户推广阶段需要做的工作的是（）。
选择一项或多项：
a. 添加关键词和创意
b. 推广效果评估
c. 数据报告解读和分析
d. 账户推广优化
正确答案是：数据报告解读和分析, 推广效果评估, 账户推广优化

试题 5
为了提高网盟广告创意的新颖性，在使用图片时应当尽量使用夸张个性的图片来吸引网民注意力。
选择一项：
对
错
正确答案是“错”。

试题 6
商盾是一款防止（）的工具，企业安装后可以有效屏蔽、过滤无效访客对企业推广信息的检索和点击，起到为企业节省推广费用的作用。
正确答案是：无效点击

试题 7
在提交新关键词时，会有临时质量度。
选择一项：
对
错
正确答案是“对”。

试题 8
关键词的原则包括 (　)
选择一项：
a. 推广
b. 干净
c. 价格低
d. 价格高
正确答案是：干净

试题 9
下列选项中，属于百度网盟推广组所特有的定向方式为（）。
选择一项或多项：
a. 地域定向
b. 网站定向
c. 兴趣定向
d. 到访定向
正确答案是：地域定向, 兴趣定向, 到访定向, 网站定向

试题 10
策略展现屏蔽可以分为（）和IP策略展现屏蔽两种策略展现屏蔽方法。

正确答案是：访客策略展现屏蔽

试题 1
信息流广告就是指出现在移动社交应用中的广告。
选择一项：
对
错
正确答案是“错”。

试题 2
账户分析的主要目的是为了发现账户存在的问题，调整推广策略，优化账户结构，提高推广效果。
选择一项：
对
错
正确答案是“对”。

试题 3
竞价推广按点击效果支付推广费用。
选择一项：
对
错
正确答案是“对”。

试题 4
下列选项中，属于常见的移动广告计费方式有（）。
选择一项或多项：
a. CPM
b. CPA
c. CPS
d. CPC
正确答案是：CPA, CPC, CPM

试题 5
推广人员在撰写广告创意时应当围绕账户推广的关键词来撰写内容，网民在搜索关键词信息时才能引发创意标题和描述的飘红，达到系统对于创意内容和关键词相关性的要求，最终获得较高的质量度。
选择一项：
对
错
正确答案是“对”。

试题 6
到访定向模式就是将企业投放的广告主要展现给那些曾经访问过企业网站的网民，吸引这些更有购买意愿的客户下单购买。
选择一项：
对
错
正确答案是“对”。

试题 7
当网民在玩游戏或看视频时，游戏加载或视频暂停时出现的广告多为贴片广告。
选择一项：
对
错
正确答案是“对”。

试题 8
左侧推广位是指搜索结果首页左侧无底色的推广位置，当某些推广信息与网民搜索关键词相关性较高时，系统将其以“广告”的形式展现在自然搜索结果的上方。
选择一项：
对
错
正确答案是“对”。

试题 9
在是做图文混排的广告创意时，建议图片位于文字的左侧。
选择一项：
对
错
正确答案是“对”。

试题 10
下列选项中，关于提高腾讯社交广告转化率的说法正确的是（）。
选择一项或多项：
a. 着陆页广告文案内容要尽量夸张些
b. 广告素材一定要和着陆页推广产品一致
c. 增加用户的信任度
d. 广告文案要突出表现广告营销重点和产品优势
正确答案是：广告素材一定要和着陆页推广产品一致, 广告文案要突出表现广告营销重点和产品优势

试题 1
企业如果已经开通了百度推广账户，就不用再开通网盟推广账户了。
选择一项：
对
错
正确答案是“对”。

试题 2
通常来说，推广平台会在（）个工作日内对企业资质进行评审。
正确答案是：3

试题 3
竞价推广第二次转化是刺激访问网站的潜在受众进一步咨询。
选择一项：
对
错
正确答案是“对”。

试题 4
核心关键词的展现通过展现 (　)
选择一项：
a. 展现报告
b. 上线报告
c. 核查报告
d. 检查报告
正确答案是：上线报告

试题 5
百度商桥作为在线沟通的一大营销利器，具有访客沟通、（）、客服管理及效果统计等强大功能。 

正确答案是：客户管理

试题 6
下列选项中，属于搭建账户所拥有的作用的是（）。
选择一项或多项：
a. 便于查看数据报告
b. 便于设定预算
c. 便于管理关键词出价
d. 便于撰写关键词创意
正确答案是：便于管理关键词出价, 便于设定预算, 便于查看数据报告, 便于撰写关键词创意

试题 7
推广计划主要用于设置广告的投放地域、每日预算、否定关键词以及投放时段等。
选择一项：
对
错
正确答案是“对”。

试题 8
企业开通推广账户的流程基本相似，大致可以分为开户资料准备、（）、信息审核三步。
正确答案是：注册申请

试题 9
腾讯社交广告账户充值时，每次充值的最低额度为800元。
选择一项：
对
错
正确答案是“错”。

试题 10
下列选项中，属于搜索竞价联盟的是（）。
选择一项或多项：
a. 阿里妈妈
b. 谷歌网盟
c. 搜狗网盟
d. 百度网盟
正确答案是：谷歌网盟, 百度网盟, 搜狗网盟

试题 1
（）是一款帮助企业分析其真实推广环境的工具。
正确答案是：竞争对手分析

试题 2
下列选项中，属于账户搭建阶段工作的内容的是（）。
选择一项或多项：
a. 创建推广单元
b. 设置每日推广预算
c. 搜集关键词
d. 创建推广计划
正确答案是：创建推广计划, 创建推广单元

试题 3
一般来说企业的营销诉求来自(　)
选择一项：
a. 目标导向
b. 价值导向
c. 潜在导向
d. 效果导向
正确答案是：效果导向

试题 4
通过查看竞争对手分析报告，可得知企业竞争对手的展现量和广告排名，判断竞争对手的广告计划，有针对性的调整企业自己账户。
选择一项：
对
错
正确答案是“对”。

试题 5
下列选项中，关于网盟广告优势的说法正确的是（）。
选择一项或多项：
a. 海量优质媒体资源
b. 精准的受众定向技术
c. 便于控制推广成本
d. 创意形式丰富多样
正确答案是：海量优质媒体资源, 便于控制推广成本, 精准的受众定向技术, 创意形式丰富多样

试题 6
下列选项中，属于腾讯社交广告开户方式的有（）。
选择一项或多项：
a. 通过官方开户热线
b. 不用开户，直接就可以投放广告
c. 通过QQ号申请注册开户
d. 通过腾讯社交广告合作商开户
正确答案是：通过QQ号申请注册开户, 通过官方开户热线, 通过腾讯社交广告合作商开户

试题 7
使用网盟123工具可以方便推广人员从海量的联盟网站中轻松挑选合适的网站。
选择一项：
对
错
正确答案是“错”。

试题 8
下列选项中，属于离线宝目前支持的功能有（）。
选择一项或多项：
a. 网页回呼
b. 400增值
c. 短信营销
d. 媒体追踪
正确答案是：400增值, 媒体追踪, 网页回呼

试题 9
用户访问的URL和广告创意展现的URL是一样的。
选择一项：
对
错
正确答案是“错”。

试题 10
推广单元层级是管理关键词和创意的层级，每个推广单元最多可以包含（）关键词和50个创意。
正确答案是：5000个

试题 1
百度推广创意有两种展现方式，分别为（）和 轮替。

正确答案是：优选

试题 2
关键词质量度是企业所在推广平台给企业主搜索推广创意打分。
选择一项：
对
错
正确答案是“对”。

试题 3
恶意点击数据会记录在（）报告中
选择一项：
a. 无用点击报告
b. 无效点击报告
c. 恶意点击报告
d. 非法点击报告
正确答案是：无效点击报告

试题 4
账户设置不包括(　)
选择一项：
a. 地域
b. 出厂设置
c. 预算
d. 推广
正确答案是：推广

试题 5
否定关键词和精确否定关键词只对广泛匹配和（）的关键词生效。
正确答案是：短语匹配

试题 6
创意的正常状态显示为（）
选择一项：
a. 有效
b. 可推广
c. 正常
d. 通过
正确答案是：有效

试题 7
推广人员在选择关键词时，不能盲目主观地选择关键词，应当先确定关键词的目标方向，围绕营销目标选择关键词。
选择一项：
对
错
正确答案是“错”。

试题 8
品牌华表的展现形式多种多样，目前提供的样式有标准样式、大图轮播、大图浮层、视频样式、（）、大视频样式。
正确答案是：多图样式

试题 9
（）主要功能是当网民在网页上输入手机号码时，单击页面按钮，百度离线宝会自动向网民和企业拨打电话，双方接起即可通话。
正确答案是：网页回呼

试题 10
百度推广系统目前提供了3种不同的关键词匹配方式，分别是精确匹配、（）、广泛匹配。
正确答案是：短语匹配

试题 1
下列选项中，属于百度商桥特有的功能的是（）。
选择一项或多项：
a. 访客沟通
b. 记录与统计
c. 客户管理
d. 客服管理
正确答案是：客户管理, 访客沟通, 客服管理, 记录与统计

试题 2
下列选项中，属于当前主流的移动广告平台的有（）。
选择一项或多项：
a. 腾讯社交广告
b. 谷歌网盟
c. 百度移动广告
d. 淘宝联盟无线平台
正确答案是：腾讯社交广告, 百度移动广告, 淘宝联盟无线平台

试题 3
良好的账户结构便于推广人员调整出价和撰写广告创意。
选择一项：
对
错
正确答案是“对”。

试题 4
下列选项中，属于百度网盟联盟官方网址的是（）。
选择一项：
a. www.baidu.com
b. yingxiao.baidu.com
c. www2.baidu.com
d. wangmeng.baidu.com
正确答案是：wangmeng.baidu.com

试题 5
下列选项中，关于健康账户结构的说法正确的是（）。
选择一项或多项：
a. 每个推广单元内至少有2条与关键词相关的创意
b. 每个推广单元内关键词不超过30个
c. 每个账户内推广计划不少于2个
d. 每个推广单元内关键词不少于50个
正确答案是：每个账户内推广计划不少于2个, 每个推广单元内关键词不超过30个, 每个推广单元内至少有2条与关键词相关的创意

试题 6
CPS是按照广告时间计费的模式。
选择一项：
对
错
正确答案是“错”。

试题 7
下列选项中，属于百度网盟推广组所拥有的定向功能是（）。
选择一项或多项：
a. 媒体展示环境下
b. 受众描述
c. 创意展现形式
d. 推广地域
正确答案是：推广地域, 受众描述, 媒体展示环境下

试题 8
百度竞价广告的特殊创意展现形式包括商业阿拉丁、（）、图片凤巢、网站头像、加V认证、口碑评价。 

正确答案是：品牌华表

试题 9
网盟广告最早出现在美国。
选择一项：
对
错
正确答案是“对”。

试题 10
搜索引擎竞价推广作为一种新型的网络广告，是企业开展网络营销活动的重要手段之一。
选择一项：
对
错
正确答案是“对”。

试题 1
百度图片凤巢在移动端的展现样式有单图样式、展望样式、（）、图文专区、四图样式。

正确答案是：图集样式

试题 2
企业使用百度推广，需要缴纳费用，比如首次开通账户需要缴纳5600元，其中包括（）5000元和服务费600元。
正确答案是：预存推广费

试题 3
下列选项中，关于网盟广告创意撰写技巧的说法正确的是（）。
选择一项或多项：
a. 文字要精炼
b. 结构要合理
c. 内容丰富
d. 主题要明确
正确答案是：结构要合理, 主题要明确, 文字要精炼

试题 4
百度推广账户结构可以分为4个层级，分别为账户、推广计划、推广单元和（）。 

正确答案是：关键词和创意

试题 5
下列选项中，属于百度信息流广告所具有的优势的是（）。
选择一项或多项：
a. 覆盖范围较广
b. 移动场景覆盖，多维度营销场景
c. 内容优质，多元化内容生态
d. 精准的定向模式
正确答案是：移动场景覆盖，多维度营销场景, 精准的定向模式, 内容优质，多元化内容生态

试题 6
腾讯社交广告创建好后，还需要提前预览一下，避免出现遗漏或错误的地方
选择一项：
对
错
正确答案是“对”。

试题 7
下列选项中，属于腾讯社交广告常用的投放辅助工具的是（）。
选择一项或多项：
a. 财务管理
b. 创意制作工具
c. 定向包管理
d. 自定义人群管理
正确答案是：自定义人群管理, 定向包管理, 创意制作工具

试题 8
线索通主要包括电话组件、（）、咨询组件、自定义表单组件等多个创意组件。
正确答案是：网页回呼组件

试题 9
能够随网页滚动的方式让广告永远处在第一屏位置的广告是固定形式的网盟广告。
选择一项：
对
错
正确答案是“错”。

试题 10
一般来说，一个推广单元内，至少有5条与关键词相关的创意。
选择一项：
对
错
正确答案是“错”。

试题 1
